sqrfoot,depth,value
1,0-2,2983.72
1,2.1-4,2983.72
1,4.1-6,3013.92
1,6.1-8,3042.4
1,8.1-10,3072.6
1,10.1-12,3102.8
2,0-2,2983.72
2,2.1-4,2983.72
2,4.1-6,3013.92
2,6.1-8,3042.4
2,8.1-10,3072.6
2,10.1-12,3102.8
3,0-2,2983.72
3,2.1-4,2983.72
3,4.1-6,3013.92
3,6.1-8,3042.4
3,8.1-10,3072.6
3,10.1-12,3102.8
4,0-2,2983.72
4,2.1-4,2983.72
4,4.1-6,3013.92
4,6.1-8,3042.4
4,8.1-10,3072.6
4,10.1-12,3102.8
5,0-2,3738.08
5,2.1-4,3738.08
5,4.1-6,3783.38
5,6.1-8,3826.1
5,8.1-10,3871.4
5,10.1-12,3916.7
6,0-2,3738.08
6,2.1-4,3738.08
6,4.1-6,3783.38
6,6.1-8,3826.1
6,8.1-10,3871.4
6,10.1-12,3916.7
7,0-2,3867.44
7,2.1-4,3867.44
7,4.1-6,3927.84
7,6.1-8,3984.8
7,8.1-10,4045.2
7,10.1-12,4105.6
8,0-2,3867.44
8,2.1-4,3867.44
8,4.1-6,3927.84
8,6.1-8,3984.8
8,8.1-10,4045.2
8,10.1-12,4105.6
9,0-2,4621.8
9,2.1-4,4621.8
9,4.1-6,4697.3
9,6.1-8,4768.5
9,8.1-10,4844
9,10.1-12,4919.5
10,0-2,4621.8
10,2.1-4,4621.8
10,4.1-6,4697.3
10,6.1-8,4768.5
10,8.1-10,4844
10,10.1-12,4919.5
